#     x (arcsec)      y (arcsec)              g1              g2               z
        127.4477        400.4572          0.3035          0.3061           3.939
        301.6898        447.1483          0.0287         -0.4882           3.805
        789.2642       -836.4746         -0.6816          0.3112           1.450
        497.2366       -578.0961         -0.2122          0.3010           3.340
       -221.9944        550.3098          0.6054         -0.3879           2.655
       -895.4899        124.4098          0.6433          0.1636           4.591
        531.0233        583.8802         -0.4569         -0.3598           4.962
       -331.9611        436.7492         -0.4028          0.1412           4.104
       -676.2169        569.3465         -0.4843         -0.2818           4.761
       -718.2246       -105.7983         -0.1125          0.2113           5.172
       -166.4976        464.9998          0.0328         -0.1447           2.235
       -172.9157       -658.1839         -0.1876         -0.1298           2.026
        426.3741         57.3531         -0.8003         -0.2724           1.330
        540.5022        887.1330          0.3988          0.2463           2.846
        876.9470        276.5980         -0.2669         -0.3402           2.917
       -436.7349        719.7943         -0.0100         -0.0484           5.005
       -364.8034       -803.5079         -0.0135         -0.1664           4.784
       -700.3925        431.4382         -0.2829         -0.4486           3.008
       -891.5927        486.5158         -0.2309          0.1751           3.313
        -77.0459        529.8445          0.2535         -0.2846           3.016
        895.5227       -847.8101          0.2359          0.2325           5.846
        819.9524       -493.8365         -0.3404         -0.2079           4.055
         56.0714        238.2267         -0.2229          0.5884           1.748
       -745.4178        619.8132         -0.2642         -0.2425           4.856
       -873.4023       -610.6713          0.2706          0.3013           2.530
        869.9146        461.9510          0.5275          0.0258           1.682
        153.8842       -616.7275         -0.4176         -0.2662           3.610
       -411.1491        -72.1485          0.0080         -0.1302           2.274
       -824.8128       -588.6946          0.1011          0.1884           1.870
       -433.5795       -840.4186          0.2078         -0.0633           0.923
       -311.9774        720.4972          0.0014         -0.0563           0.922
        839.0627       -775.8149         -0.0307         -0.0314           3.888
        125.8420        746.7778          0.0242         -0.1253           4.262
        676.3402         83.4112          0.1360          0.5386           3.700
       -569.7529       -584.9787         -0.1199         -0.0620           1.361
       -191.7312        581.6509         -0.3537         -0.0325           1.845
        562.2683        430.4265         -0.4135         -0.1288           4.229
         -7.5142       -611.7823          0.3635         -0.6889           4.544
       -335.9148       -102.1615          0.6752         -0.0141           2.198
       -630.6698        171.6425          0.1153         -0.2720           1.918
        -86.7740       -320.4755          0.0412         -0.1442           3.370
        270.9956        883.8450          0.3430          0.0983           4.454
        564.0824        277.7675         -0.4670         -0.0644           5.721
        729.2988         25.9090         -0.3014          0.6339           1.769
        801.8471       -226.5592         -0.6629         -0.0132           3.378
        454.4720        680.2510         -0.7123         -0.1718           2.862
         21.5138       -654.8615          0.5056          0.1983           4.243
       -557.4909       -314.8440          0.0586         -0.1189           4.519
        808.2011        465.7254          0.0751          0.1330           2.451
        438.0741        388.9141         -0.4221         -0.2210           1.275
        684.0766       -406.0466          0.1647         -0.0793           3.131
        -69.2532       -702.9728          0.1617          0.0853           2.597
       -376.3765        586.5481         -0.1648          0.1712           0.926
        -34.5919       -767.6405          0.2788         -0.4215           4.145
